fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,type,pHValue,taste
9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,0.46,10.4,white,quite acidic,good
6.4,0.225,0.48,2.2,0.115,29.0,104.0,0.9918,0.58,12.1,white,quite acidic,normal
8.3,0.14,0.45,1.5,0.039,18.0,98.0,0.99215,0.56,11.0,white,very acidic,normal
7.2,0.23,0.19,13.7,0.052,47.0,197.0,0.99865,0.53,9.0,white,very acidic,bad
6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,0.82,9.5,white,quite acidic,good
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,0.75,8.8,white,quite acidic,good
6.0,0.395,0.0,1.4,0.042,7.0,55.0,0.99135,0.38,11.2,white,quite acidic,bad
7.8,0.29,0.22,9.5,0.056,44.0,213.0,0.99715,0.61,9.3,white,very acidic,normal
6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,0.82,9.5,white,quite acidic,good
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,0.75,8.8,white,quite acidic,good
7.2,0.23,0.19,13.7,0.052,47.0,197.0,0.99865,0.53,9.0,white,very acidic,bad
7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,0.3,9.3,white,quite acidic,normal
7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,0.29,9.2,white,quite acidic,normal
7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,0.29,9.2,white,quite acidic,normal
5.8,0.34,0.16,7.0,0.037,26.0,116.0,0.9949,0.45,10.0,white,midly acidic,good
7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,0.3,9.3,white,quite acidic,normal
7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,0.29,9.2,white,quite acidic,normal
5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,0.69,10.9,white,quite acidic,good
6.4,0.46,0.08,4.9,0.046,34.0,144.0,0.99445,0.56,10.0,white,very acidic,bad
5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,0.69,10.9,white,quite acidic,good
7.4,0.32,0.27,1.4,0.049,38.0,173.0,0.99335,0.52,9.3,white,very acidic,bad
7.2,0.31,0.26,7.3,0.05,37.0,157.0,0.99625,0.43,9.0,white,very acidic,bad
7.8,0.42,0.23,8.8,0.054,42.0,215.0,0.9971,0.58,9.2,white,very acidic,normal
6.9,0.24,0.33,12.5,0.046,47.0,153.0,0.9983,0.77,9.6,white,quite acidic,normal
5.4,0.18,0.24,4.8,0.041,30.0,113.0,0.99445,0.4,9.4,white,midly acidic,normal
6.0,0.18,0.31,1.4,0.036,14.0,75.0,0.99085,0.58,11.1,white,quite acidic,good
7.8,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,0.41,8.9,white,very acidic,normal
6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,0.47,9.3,white,very acidic,bad
6.8,0.39,0.35,11.6,0.044,57.0,220.0,0.99775,0.53,9.3,white,very acidic,bad
6.6,0.21,0.31,11.4,0.039,46.0,165.0,0.99795,0.44,9.8,white,midly acidic,good
7.3,0.32,0.34,6.6,0.032,24.0,112.0,0.99505,0.46,9.8,white,quite acidic,normal
7.8,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,0.41,8.9,white,very acidic,normal
6.4,0.31,0.26,13.2,0.046,57.0,205.0,0.9975,0.41,9.6,white,very acidic,bad
6.2,0.29,0.26,13.1,0.046,55.0,204.0,0.99745,0.41,9.6,white,very acidic,normal
6.0,0.39,0.17,12.0,0.046,65.0,246.0,0.9976,0.38,9.0,white,very acidic,normal
6.2,0.3,0.26,13.4,0.046,57.0,206.0,0.99775,0.43,9.5,white,very acidic,normal
6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,0.47,9.3,white,very acidic,bad
6.0,0.41,0.05,1.5,0.063,17.0,120.0,0.9932,0.56,9.2,white,quite acidic,normal
6.4,0.35,0.28,1.1,0.055,9.0,160.0,0.99405,0.5,9.1,white,midly acidic,good
6.5,0.26,0.32,16.5,0.045,44.0,166.0,1.0,0.46,9.5,white,quite acidic,normal
7.9,0.35,0.24,15.6,0.072,44.0,229.0,0.99785,0.59,10.5,white,very acidic,normal
6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,0.46,9.0,white,very acidic,bad
8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,0.52,11.7,white,very acidic,bad
6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,0.51,9.1,white,quite acidic,bad
6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,0.46,9.0,white,very acidic,bad
6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,0.51,9.1,white,quite acidic,bad
6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.98965,0.61,12.4,white,midly acidic,good
7.3,0.655,0.2,10.2,0.071,28.0,212.0,0.9971,0.58,9.2,white,extremly acidic,normal
6.8,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,0.43,9.4,white,quite acidic,bad
6.7,0.19,0.23,6.2,0.047,36.0,117.0,0.9945,0.43,9.6,white,quite acidic,normal
8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,0.52,11.7,white,very acidic,bad
7.0,0.21,0.37,7.2,0.042,36.0,167.0,0.9958,0.56,9.8,white,quite acidic,normal
6.8,0.25,0.38,8.1,0.046,24.0,155.0,0.9956,0.59,10.2,white,quite acidic,normal
7.4,0.24,0.36,2.0,0.031,27.0,139.0,0.99055,0.48,12.5,white,quite acidic,good
7.1,0.16,0.36,10.7,0.044,20.0,90.0,0.9959,0.44,10.9,white,very acidic,good
7.1,0.16,0.36,1.2,0.043,21.0,90.0,0.9925,0.42,11.0,white,very acidic,good
7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,0.69,10.5,white,acidic,normal
7.4,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,0.62,11.5,white,very acidic,bad
7.3,0.3,0.34,2.7,0.044,34.0,108.0,0.99105,0.53,12.8,white,quite acidic,good
6.9,0.25,0.34,1.3,0.035,27.0,82.0,0.99045,0.44,12.2,white,very acidic,normal
7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,0.69,10.5,white,acidic,normal
7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,0.45,12.8,white,very acidic,good
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,0.4,11.9,white,quite acidic,good
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,0.4,11.9,white,quite acidic,good
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,0.4,11.9,white,quite acidic,good
7.5,0.34,0.35,6.0,0.034,12.0,126.0,0.9924,0.39,12.0,white,very acidic,good
7.6,0.33,0.35,6.3,0.036,12.0,126.0,0.9924,0.39,12.0,white,very acidic,good
8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,0.47,8.8,white,very acidic,good
8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,0.47,8.8,white,very acidic,good
6.9,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,0.54,10.8,white,quite acidic,good
7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,0.5,11.0,white,quite acidic,good
7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,0.5,11.0,white,quite acidic,good
6.6,0.22,0.37,15.4,0.035,62.0,153.0,0.99845,0.4,9.3,white,very acidic,bad
9.2,0.34,0.27,1.2,0.026,17.0,73.0,0.9921,0.39,10.8,white,very acidic,bad
8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,0.47,8.8,white,very acidic,good
6.0,0.2,0.24,1.8,0.03,30.0,105.0,0.9909,0.47,11.5,white,quite acidic,normal
6.9,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,0.54,10.8,white,quite acidic,good
8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,0.54,9.4,white,very acidic,bad
6.9,0.18,0.36,1.3,0.036,40.0,117.0,0.9934,0.95,9.5,white,quite acidic,good
7.7,0.34,0.58,11.1,0.039,41.0,151.0,0.9978,0.49,8.6,white,very acidic,bad
6.9,0.18,0.36,1.3,0.036,40.0,117.0,0.9934,0.95,9.5,white,quite acidic,good
7.4,0.2,0.35,2.1,0.038,30.0,116.0,0.9949,0.77,10.3,white,midly acidic,good
8.2,0.38,0.49,13.6,0.042,58.0,166.0,0.99855,0.54,9.4,white,very acidic,bad
8.2,0.4,0.48,13.7,0.042,59.0,169.0,0.9986,0.52,9.4,white,very acidic,bad
6.7,0.22,0.39,10.2,0.038,60.0,149.0,0.99725,0.54,10.0,white,very acidic,good
6.6,0.3,0.3,4.8,0.17,60.0,166.0,0.9946,0.47,9.4,white,very acidic,bad
8.1,0.27,0.35,1.7,0.03,38.0,103.0,0.99255,0.63,10.4,white,quite acidic,good
7.3,0.25,0.42,14.2,0.041,57.0,182.0,0.9996,0.75,9.1,white,quite acidic,good
4.8,0.34,0.0,6.5,0.028,33.0,163.0,0.9939,0.61,9.9,white,quite acidic,normal
6.2,0.28,0.33,1.7,0.029,24.0,111.0,0.99,0.5,12.1,white,quite acidic,normal
4.8,0.33,0.0,6.5,0.028,34.0,163.0,0.9937,0.61,9.9,white,quite acidic,bad
6.1,0.27,0.33,2.2,0.021,26.0,117.0,0.9886,0.3,12.5,white,very acidic,normal
6.9,0.18,0.36,1.3,0.036,40.0,117.0,0.9934,0.95,9.5,white,quite acidic,good
7.8,0.18,0.46,12.6,0.042,41.0,143.0,1.0,0.76,8.5,white,quite acidic,good
7.3,0.28,0.42,14.4,0.04,49.0,173.0,0.9994,0.82,9.0,white,quite acidic,good
7.3,0.24,0.29,1.2,0.037,37.0,97.0,0.9926,0.7,10.1,white,very acidic,normal
6.0,0.45,0.65,9.7,0.08,11.0,159.0,0.9956,0.48,9.4,white,very acidic,bad
7.7,0.34,0.58,11.1,0.039,41.0,151.0,0.9978,0.49,8.6,white,very acidic,bad
6.3,0.26,0.21,4.0,0.03,24.0,125.0,0.9915,0.34,10.7,white,very acidic,normal
10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,0.28,9.6,white,extremly acidic,bad
7.7,0.15,0.29,1.3,0.029,10.0,64.0,0.9932,0.39,10.1,white,quite acidic,bad
7.1,0.21,0.32,2.2,0.037,28.0,141.0,0.993,0.57,10.0,white,quite acidic,good
6.9,0.36,0.34,4.2,0.018,57.0,119.0,0.9898,0.36,12.7,white,quite acidic,good
6.0,0.28,0.34,1.6,0.119,33.0,104.0,0.9921,0.38,10.2,white,very acidic,normal
6.2,0.16,0.54,1.4,0.126,37.0,110.0,0.9932,0.37,8.9,white,quite acidic,normal
6.9,0.12,0.36,2.2,0.037,18.0,111.0,0.9919,0.82,11.9,white,midly acidic,good
7.1,0.21,0.32,2.2,0.037,28.0,141.0,0.993,0.57,10.0,white,quite acidic,good
8.8,0.36,0.44,1.9,0.04,9.0,121.0,0.9953,0.48,9.9,white,very acidic,normal
7.4,0.26,0.43,6.0,0.022,22.0,125.0,0.9928,0.55,11.5,white,very acidic,normal
7.4,0.26,0.43,6.0,0.022,22.0,125.0,0.9928,0.55,11.5,white,very acidic,normal
6.8,0.23,0.29,12.2,0.035,38.0,236.0,0.9976,0.52,9.8,white,quite acidic,normal
6.1,0.34,0.27,2.6,0.024,20.0,105.0,0.9906,0.67,12.2,white,midly acidic,good
7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,0.51,11.4,white,very acidic,normal
6.5,0.3,0.32,2.0,0.044,34.0,90.0,0.99185,0.68,11.0,white,quite acidic,good
7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,0.51,11.4,white,very acidic,normal
6.5,0.3,0.32,2.0,0.044,34.0,90.0,0.99185,0.68,11.0,white,quite acidic,good
5.0,0.31,0.0,6.4,0.046,43.0,166.0,0.994,0.63,9.9,white,quite acidic,normal
5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,0.4,11.0,white,midly acidic,good
5.9,0.26,0.3,1.0,0.036,38.0,114.0,0.9928,0.48,9.4,white,midly acidic,bad
7.0,0.31,0.29,1.4,0.037,33.0,128.0,0.9896,0.36,12.2,white,very acidic,good
5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,0.4,11.0,white,midly acidic,good
5.6,0.19,0.39,1.1,0.043,17.0,67.0,0.9918,0.53,10.3,white,quite acidic,normal
6.8,0.18,0.28,8.7,0.047,52.0,242.0,0.9952,0.53,10.5,white,quite acidic,normal
7.0,0.29,0.26,1.6,0.044,12.0,87.0,0.9923,0.46,10.5,white,very acidic,normal
6.6,0.26,0.29,1.4,0.039,13.0,67.0,0.9915,0.49,10.9,white,very acidic,normal
6.8,0.18,0.28,8.5,0.047,52.0,242.0,0.9952,0.53,10.5,white,quite acidic,normal
6.6,0.2,0.38,7.9,0.052,30.0,145.0,0.9947,0.56,11.0,white,quite acidic,good
8.0,0.29,0.29,13.2,0.046,26.0,113.0,0.9983,0.37,9.7,white,quite acidic,normal
6.1,0.28,0.35,12.8,0.048,63.0,229.0,0.9975,0.4,8.9,white,very acidic,bad
5.9,0.31,0.3,7.7,0.047,60.0,206.0,0.995,0.39,9.6,white,quite acidic,normal
6.9,0.21,0.28,2.4,0.056,49.0,159.0,0.9944,0.47,8.8,white,very acidic,good
8.4,0.19,0.42,1.6,0.047,9.0,101.0,0.994,0.65,11.1,white,very acidic,bad
8.3,0.27,0.45,1.3,0.048,8.0,72.0,0.9944,0.61,10.3,white,very acidic,bad
7.1,0.25,0.39,2.1,0.036,30.0,124.0,0.9908,0.43,12.2,white,quite acidic,good
8.0,0.23,0.37,9.6,0.054,23.0,159.0,0.99795,0.47,9.8,white,quite acidic,bad
7.5,0.24,0.31,13.0,0.049,46.0,217.0,0.9985,0.53,8.8,white,very acidic,bad
6.3,0.33,0.2,5.8,0.04,24.0,144.0,0.99425,0.63,9.9,white,very acidic,bad
6.2,0.33,0.19,5.6,0.042,22.0,143.0,0.99425,0.63,9.9,white,very acidic,bad
6.3,0.34,0.19,5.8,0.041,22.0,145.0,0.9943,0.63,9.9,white,very acidic,bad
5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,0.35,9.2,white,quite acidic,bad
8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,0.37,9.5,white,quite acidic,bad
5.6,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,0.35,9.2,white,quite acidic,bad
7.4,0.13,0.39,4.7,0.042,36.0,137.0,0.995,0.56,10.3,white,quite acidic,good
7.7,0.3,0.32,1.6,0.037,23.0,124.0,0.9919,0.33,11.0,white,extremly acidic,normal
7.0,0.24,0.34,1.4,0.031,27.0,107.0,0.99,0.39,11.9,white,very acidic,normal
8.6,0.18,0.4,1.1,0.04,20.0,107.0,0.9923,0.32,10.2,white,extremly acidic,good
7.0,0.11,0.32,4.6,0.057,59.0,144.0,0.9956,0.44,9.4,white,midly acidic,good
7.7,0.32,0.62,10.6,0.036,56.0,153.0,0.9978,0.44,8.9,white,very acidic,normal
7.7,0.32,0.62,10.6,0.036,56.0,153.0,0.9978,0.44,8.9,white,very acidic,normal
6.5,0.26,0.27,12.9,0.044,69.0,215.0,0.9967,0.43,10.0,white,very acidic,normal
7.9,0.28,0.41,2.0,0.044,50.0,152.0,0.9934,0.49,10.7,white,midly acidic,good
6.3,0.27,0.23,2.9,0.047,13.0,100.0,0.9936,0.43,9.8,white,quite acidic,bad
5.4,0.595,0.1,2.8,0.042,26.0,80.0,0.9932,0.38,9.3,white,quite acidic,bad
6.7,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,0.48,9.5,white,very acidic,good
6.5,0.25,0.35,12.0,0.055,47.0,179.0,0.998,0.47,10.0,white,midly acidic,bad
6.1,0.36,0.58,15.0,0.044,42.0,115.0,0.9978,0.51,9.0,white,very acidic,bad
7.7,0.17,0.52,5.9,0.017,21.0,84.0,0.9929,0.4,11.9,white,very acidic,good
6.4,0.26,0.43,12.6,0.033,64.0,230.0,0.9974,0.38,8.9,white,very acidic,bad
6.5,0.26,0.28,12.5,0.046,80.0,225.0,0.99685,0.41,10.0,white,very acidic,normal
5.9,0.29,0.33,7.4,0.037,58.0,205.0,0.99495,0.41,9.6,white,quite acidic,bad
6.2,0.28,0.43,13.0,0.039,64.0,233.0,0.99745,0.38,8.9,white,very acidic,bad
6.1,0.27,0.44,6.7,0.041,61.0,230.0,0.99505,0.4,8.9,white,very acidic,bad
6.4,0.43,0.32,1.4,0.048,10.0,67.0,0.992,0.41,11.4,white,very acidic,bad
6.1,0.36,0.58,15.0,0.044,42.0,115.0,0.9978,0.51,9.0,white,very acidic,bad
6.2,0.35,0.29,7.3,0.044,56.0,244.0,0.9956,0.55,10.0,white,quite acidic,normal
7.7,0.24,0.29,15.3,0.044,39.0,194.0,0.9982,0.47,9.6,white,very acidic,good
6.2,0.34,0.28,7.5,0.034,40.0,197.0,0.99485,0.6,9.7,white,very acidic,bad
6.3,0.27,0.46,11.75,0.037,61.0,212.0,0.9971,0.53,9.5,white,quite acidic,normal
5.4,0.415,0.19,1.6,0.039,27.0,88.0,0.99265,0.41,10.0,white,midly acidic,good
6.9,0.48,0.36,3.5,0.03,31.0,135.0,0.9904,0.38,12.2,white,very acidic,good
6.5,0.18,0.33,8.0,0.051,16.0,131.0,0.9965,0.44,8.7,white,quite acidic,good
6.7,0.15,0.29,5.0,0.058,28.0,105.0,0.9946,0.44,10.2,white,midly acidic,good
8.2,0.345,1.0,18.2,0.047,55.0,205.0,0.99965,0.43,9.6,white,extremly acidic,bad
8.5,0.16,0.35,1.6,0.039,24.0,147.0,0.9935,0.36,10.0,white,extremly acidic,bad
6.8,0.705,0.25,3.2,0.048,10.0,57.0,0.996,0.52,9.5,white,quite acidic,bad
7.3,0.25,0.39,6.4,0.034,8.0,84.0,0.9942,0.46,11.5,white,very acidic,bad
7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,0.38,9.5,white,very acidic,bad
7.6,0.22,0.34,9.7,0.035,26.0,143.0,0.9965,0.49,9.8,white,very acidic,normal
6.5,0.17,0.33,1.4,0.028,14.0,99.0,0.9928,0.55,10.1,white,quite acidic,normal
8.2,0.23,0.37,1.3,0.042,39.0,117.0,0.9928,0.36,10.0,white,extremly acidic,bad
7.6,0.22,0.34,9.7,0.035,26.0,143.0,0.9965,0.49,9.8,white,very acidic,normal
7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,0.38,9.5,white,very acidic,bad
7.5,0.32,0.26,1.8,0.042,13.0,133.0,0.9938,0.38,9.5,white,very acidic,bad
6.6,0.23,0.32,0.9,0.041,25.0,79.0,0.9926,0.54,10.2,white,quite acidic,good
6.6,0.2,0.32,1.1,0.039,25.0,78.0,0.9926,0.54,10.2,white,quite acidic,good
7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,0.42,9.0,white,very acidic,normal
7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,0.42,9.0,white,very acidic,normal
8.0,0.42,0.36,5.0,0.037,34.0,101.0,0.992,0.57,12.3,white,very acidic,good
7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,0.42,9.0,white,very acidic,normal
6.1,0.19,0.25,4.0,0.023,23.0,112.0,0.9923,0.51,11.6,white,quite acidic,normal
5.9,0.26,0.21,12.5,0.034,36.0,152.0,0.9972,0.43,9.5,white,quite acidic,normal
8.3,0.23,0.43,3.2,0.035,14.0,101.0,0.9928,0.36,11.5,white,very acidic,bad
6.5,0.34,0.28,1.8,0.041,43.0,188.0,0.9928,0.37,9.6,white,very acidic,normal
6.8,0.22,0.35,17.5,0.039,38.0,153.0,0.9994,0.42,9.0,white,quite acidic,normal
6.5,0.08,0.33,1.9,0.028,23.0,93.0,0.991,0.7,12.0,white,quite acidic,good
5.5,0.42,0.09,1.6,0.019,18.0,68.0,0.9906,0.51,11.4,white,quite acidic,good
5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,0.36,12.3,white,quite acidic,good
6.0,0.27,0.19,1.7,0.02,24.0,110.0,0.9898,0.47,12.6,white,quite acidic,good
6.8,0.22,0.35,17.5,0.039,38.0,153.0,0.9994,0.42,9.0,white,quite acidic,normal
6.5,0.08,0.33,1.9,0.028,23.0,93.0,0.991,0.7,12.0,white,quite acidic,good
7.1,0.13,0.38,1.8,0.046,14.0,114.0,0.9925,0.9,11.7,white,quite acidic,normal
7.6,0.3,0.25,4.3,0.054,22.0,111.0,0.9956,0.49,9.2,white,very acidic,bad
6.6,0.13,0.3,4.9,0.058,47.0,131.0,0.9946,0.45,10.3,white,midly acidic,normal
6.5,0.14,0.33,7.6,0.05,53.0,189.0,0.9966,0.49,8.6,white,quite acidic,bad
7.7,0.28,0.33,6.7,0.037,32.0,155.0,0.9951,0.62,10.7,white,quite acidic,good
6.0,0.2,0.71,1.6,0.15,10.0,54.0,0.9927,0.47,9.8,white,very acidic,bad
6.0,0.19,0.71,1.5,0.152,9.0,55.0,0.9927,0.46,9.8,white,very acidic,normal
7.7,0.28,0.33,6.7,0.037,32.0,155.0,0.9951,0.62,10.7,white,quite acidic,good
5.1,0.39,0.21,1.7,0.027,15.0,72.0,0.9894,0.45,12.5,white,midly acidic,normal
5.7,0.36,0.34,4.2,0.026,21.0,77.0,0.9907,0.45,11.9,white,midly acidic,normal
6.9,0.19,0.33,1.6,0.043,63.0,149.0,0.9925,0.52,10.8,white,midly acidic,bad
6.0,0.41,0.21,1.9,0.05,29.0,122.0,0.9928,0.52,10.5,white,midly acidic,normal
7.4,0.28,0.3,5.3,0.054,44.0,161.0,0.9941,0.48,10.3,white,very acidic,normal
7.4,0.3,0.3,5.2,0.053,45.0,163.0,0.9941,0.45,10.3,white,very acidic,normal
6.9,0.19,0.33,1.6,0.043,63.0,149.0,0.9925,0.52,10.8,white,midly acidic,bad
7.7,0.28,0.39,8.9,0.036,8.0,117.0,0.9935,0.38,12.0,white,very acidic,good
8.6,0.16,0.38,3.4,0.04,41.0,143.0,0.9932,0.39,10.2,white,extremly acidic,normal
8.2,0.26,0.44,1.3,0.046,7.0,69.0,0.9944,0.62,10.2,white,very acidic,bad
6.5,0.25,0.27,15.2,0.049,75.0,217.0,0.9972,0.39,9.9,white,very acidic,bad
7.0,0.24,0.18,1.3,0.046,9.0,62.0,0.994,0.47,10.1,white,quite acidic,bad
8.6,0.18,0.36,1.8,0.04,24.0,187.0,0.9956,0.55,9.5,white,quite acidic,normal
7.8,0.27,0.34,1.6,0.046,27.0,154.0,0.9927,0.45,10.5,white,very acidic,normal
6.0,0.26,0.34,1.3,0.046,6.0,29.0,0.9924,0.63,10.4,white,quite acidic,bad
6.1,0.24,0.27,9.8,0.062,33.0,152.0,0.9966,0.47,9.5,white,quite acidic,normal
8.0,0.24,0.3,17.45,0.056,43.0,184.0,0.9997,0.5,9.2,white,very acidic,normal
7.6,0.21,0.6,2.1,0.046,47.0,165.0,0.9936,0.54,10.1,white,very acidic,good
8.0,0.19,0.36,1.8,0.05,16.0,84.0,0.9936,0.45,9.8,white,very acidic,good
6.4,0.28,0.41,6.8,0.045,61.0,216.0,0.9952,0.46,9.4,white,very acidic,bad
6.4,0.28,0.43,7.1,0.045,60.0,221.0,0.9952,0.45,9.4,white,very acidic,normal
6.9,0.24,0.39,1.3,0.063,18.0,136.0,0.9928,0.48,10.4,white,quite acidic,good
5.8,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,0.55,11.3,white,quite acidic,normal
6.6,0.18,0.28,3.3,0.044,18.0,91.0,0.993,0.64,10.8,white,midly acidic,normal
5.8,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,0.55,11.3,white,quite acidic,normal
5.1,0.52,0.06,2.7,0.052,30.0,79.0,0.9932,0.43,9.3,white,quite acidic,bad
6.6,0.22,0.37,1.2,0.059,45.0,199.0,0.993,0.55,10.3,white,quite acidic,good
8.3,0.15,0.39,1.3,0.055,32.0,146.0,0.993,0.39,10.5,white,very acidic,normal
7.6,0.16,0.44,1.4,0.043,25.0,109.0,0.9932,0.75,10.3,white,very acidic,normal
7.7,0.16,0.41,1.7,0.048,60.0,173.0,0.9932,0.66,11.2,white,quite acidic,good
8.3,0.16,0.48,1.7,0.057,31.0,98.0,0.9943,0.41,10.3,white,very acidic,normal
6.2,0.25,0.47,11.6,0.048,62.0,210.0,0.9968,0.5,9.5,white,very acidic,bad
6.1,0.16,0.27,12.6,0.064,63.0,162.0,0.9994,0.43,8.9,white,acidic,bad
7.6,0.39,0.22,2.8,0.036,19.0,113.0,0.9926,0.29,10.2,white,very acidic,bad
6.8,0.37,0.47,11.2,0.071,44.0,136.0,0.9968,0.88,9.2,white,extremly acidic,bad
7.6,0.16,0.44,1.4,0.043,25.0,109.0,0.9932,0.75,10.3,white,very acidic,normal
7.1,0.18,0.42,1.4,0.045,47.0,157.0,0.9916,0.31,10.5,white,extremly acidic,normal
8.3,0.14,0.26,1.5,0.049,56.0,189.0,0.9946,0.62,9.5,white,quite acidic,normal
8.6,0.2,0.42,1.5,0.041,35.0,125.0,0.9925,0.49,11.4,white,very acidic,good
8.6,0.2,0.42,1.5,0.041,35.0,125.0,0.9925,0.49,11.4,white,very acidic,good
6.8,0.19,0.32,7.05,0.019,54.0,188.0,0.9935,0.37,11.1,white,quite acidic,good
7.6,0.19,0.38,10.6,0.06,48.0,174.0,0.9962,0.38,10.5,white,very acidic,normal
6.8,0.34,0.74,2.8,0.088,23.0,185.0,0.9928,0.7,12.0,white,midly acidic,normal
6.2,0.15,0.46,1.6,0.039,38.0,123.0,0.993,0.51,9.7,white,quite acidic,normal
6.6,0.14,0.44,1.6,0.042,47.0,140.0,0.993,0.51,10.2,white,quite acidic,normal
8.0,0.55,0.17,8.2,0.04,13.0,60.0,0.9956,0.3,9.5,white,very acidic,bad
7.0,0.24,0.35,1.5,0.052,51.0,128.0,0.9941,0.59,10.4,white,midly acidic,good
6.3,0.6,0.44,11.0,0.05,50.0,245.0,0.9972,0.57,9.3,white,very acidic,bad
7.1,0.2,0.41,2.1,0.054,24.0,166.0,0.9948,0.62,10.5,white,midly acidic,normal
6.2,0.34,0.29,7.6,0.047,45.0,232.0,0.9955,0.62,10.0,white,quite acidic,normal
7.1,0.3,0.36,6.8,0.055,44.5,234.0,0.9972,0.64,10.2,white,midly acidic,normal
7.1,0.3,0.36,6.8,0.055,44.5,234.0,0.9972,0.64,10.2,white,midly acidic,normal
7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,0.74,9.1,white,extremly acidic,bad
8.8,0.17,0.38,1.8,0.04,39.0,148.0,0.9942,0.67,10.2,white,very acidic,normal
7.5,0.17,0.37,1.5,0.06,18.0,75.0,0.9936,0.88,10.7,white,midly acidic,bad
7.1,0.47,0.24,6.0,0.044,11.0,77.0,0.9956,0.56,9.7,white,quite acidic,bad
7.1,0.15,0.34,5.3,0.034,33.0,104.0,0.9953,0.52,9.3,white,quite acidic,good
7.5,0.17,0.34,1.4,0.035,13.0,102.0,0.9918,0.74,11.0,white,very acidic,bad
8.2,0.68,0.3,2.1,0.047,17.0,138.0,0.995,0.71,10.8,white,quite acidic,bad
7.7,0.275,0.3,1.0,0.039,19.0,75.0,0.992,0.56,10.7,white,very acidic,bad
7.3,0.49,0.32,5.2,0.043,18.0,104.0,0.9952,0.45,10.7,white,quite acidic,bad
7.5,0.33,0.48,19.45,0.048,55.0,243.0,1.001,0.4,8.8,white,extremly acidic,bad
7.2,0.21,0.37,1.6,0.049,23.0,94.0,0.9924,0.48,10.9,white,very acidic,good
7.3,0.15,0.4,2.0,0.05,24.0,92.0,0.9932,0.45,10.5,white,very acidic,bad
